Name,Heliocentric Julian Date,Heliocentric Radial Velocity(km/s)
HV873,2453701.721,247.46
HV873,2453702.749,250.14
HV873,2453703.757,252.64
HV873 ,2453704.754,255.15
HV873,2453705.747,257.52
HV873,2453706.752,259.96
HV873 ,2453707.747,262.16
HV873,2453708.728,264.3
HV873 ,2453709.734,266.68
HV873,2453710.726,268.34
HV873 ,2453711.726,270.06
HV873 ,2453712.799,271.83
HV873,2453713.807,246.49
HV873  ,2453713.855,272.33
HV873  ,2453714.805,273.13
HV873  ,2453715.808,271.87
HV873  ,2453716.813,271.55
HV873  ,2454100.766,245.93
HV873  ,2454101.84,235.08
HV873  ,2454103.773,223.37
HV873  ,2454113.748,243.99
HV873  ,2454133.655,268.78
HV873  ,2454419.538,231.95
HV873  ,2454517.512,223.41
HV873  ,2454520.576,226.8
HV876  ,2453701.744,302.26
HV876  ,2453702.769,306.48
HV876  ,2453703.775,310.73
HV876  ,2453704.773,314.77
HV876  ,2453705.765,318.53
HV876  ,2453706.772,322.2
HV876  ,2453707.765,324.52
HV876  ,2453708.753,322.83
HV876  ,2453709.753,314.18
HV876  ,2453710.745,313.45
HV876  ,2453711.804,306.49
HV876  ,2453712.784,277.53
HV876  ,2453713.791,264.14
HV876  ,2453714.789,263.9
HV876  ,2453715.792,266.74
HV876  ,2453716.795,270.49
HV876  ,2454103.784,274.91
HV876  ,2454514.659,284.43
HV876  ,2454515.542,287.76
HV876  ,2454516.564,291.83
HV876  ,2454540.533,297.01
HV877  ,2453701.706,280.63
HV877  ,2453702.854,281.79
HV877  ,2453703.841,282.68
HV877  ,2453705.734,285
HV877  ,2453707.737,287.28
HV877  ,2453708.821,288.44
HV877  ,2453710.857,291
HV877  ,2453712.803,293.08
HV877  ,2453714.812,295.28
HV877  ,2453715.704,296.28
HV877  ,2453716.821,297.57
HV877  ,2454046.708,301.32
HV877  ,2454056.71,277.64
HV877  ,2454058.597,277.65
HV877  ,2454100.776,278.92
HV877  ,2454101.851,277.95
HV877  ,2454125.582,300.19
HV877  ,2454133.672,306.26
HV877  ,2454186.548,300.08
HV877  ,2454189.501,282.48
HV877  ,2454364.804,306.36
HV877  ,2454410.707,305.52
HV877  ,2454488.607,300.98
HV878  ,2453701.737,270.09
HV878  ,2453702.763,268.49
HV878  ,2453703.769,247.48
HV878  ,2453704.767,229.07
HV878  ,2453705.759,222.02
HV878  ,2453706.766,222
HV878  ,2453707.759,224.95
HV878  ,2453708.741,228.83
HV878  ,2453708.746,228.84
HV878  ,2453709.746,233.12
HV878  ,2453710.738,237.15
HV878  ,2453711.811,241.55
HV878  ,2453712.788,245.56
HV878  ,2453713.795,249.67
HV878  ,2453714.794,253.5
HV878  ,2453715.796,257.51
HV878  ,2453716.801,261.43
HV878  ,2454046.717,276.46
HV878  ,2454058.606,241.25
HV878  ,2454161.564,269.08
HV878  ,2454186.565,275.39
HV878  ,2454189.51,279.35
HV878  ,2454395.834,273.42
HV878  ,2454515.554,279.98
HV881  ,2453701.701,234.15
HV881  ,2453702.858,237.01
HV881  ,2453703.857,239.14
HV881  ,2453705.741,243.42
HV881  ,2453707.742,248
HV881  ,2453708.825,250.29
HV881  ,2453710.722,254
HV881  ,2453711.854,256.58
HV881  ,2453712.805,258.22
HV881  ,2453713.81,259.47
HV881  ,2453714.808,260.22
HV881  ,2453715.812,261.46
HV881  ,2453716.818,261.8
HV881  ,2454046.727,221.6
HV881  ,2454056.718,229
HV881  ,2454058.616,233.19
HV881  ,2454113.758,264.8
HV881  ,2454123.588,218.6
HV881  ,2454124.626,220.76
HV881  ,2454125.591,222.78
HV881  ,2454186.585,264.57
HV881  ,2454189.52,224.86
HV881  ,2454406.835,214.95
HV881  ,2454478.735,215.08
HV881  ,2454520.587,227.34
HV881  ,2454540.546,263.35
HV900  ,2453701.71,214.15
HV900  ,2453702.799,215.66
HV900  ,2453703.751,217
HV900  ,2453704.748,218.59
HV900  ,2453705.737,220.32
HV900  ,2453706.747,221.73
HV900  ,2453707.857,223.59
HV900  ,2453708.725,224.83
HV900  ,2453710.854,228.25
HV900  ,2453712.696,230.8
HV900  ,2453714.814,233.57
HV900  ,2453715.814,235.03
HV900  ,2453716.824,236.35
HV900  ,2454056.726,245.83
HV900  ,2454058.623,247.26
HV900  ,2454100.783,242.21
HV900  ,2454113.766,255.5
HV900  ,2454123.596,211.14
HV900  ,2454124.634,210.84
HV900  ,2454162.517,256.1
HV900  ,2454395.843,252.02
HV900  ,2454406.844,213.99
HV900  ,2454431.731,240.99
HV900  ,2454488.679,249.71
HV900  ,2454547.511,227.13
HV914  ,2451545.664,279.99
HV914  ,2451546.689,255.89
HV914  ,2451547.665,241.89
HV914  ,2451548.64,248.69
HV914  ,2451549.637,256.37
HV914  ,2451550.547,263.29
HV914  ,2451551.635,271.55
HV914  ,2451552.69,281.07
HV914  ,2451564.642,265.8
HV914  ,2451565.646,272.99
HV914  ,2451566.719,279.45
HV914  ,2451567.659,243.24
HV914  ,2451568.676,243.52
HV914  ,2451569.681,251.35
HV914  ,2451570.579,259.32
HV914  ,2451571.679,267.24
HV914  ,2451849.629,247.67
HV914  ,2451850.745,242.4
HV914  ,2451851.762,250.86
HV914  ,2451854.629,274.68
HV914  ,2451908.581,265.89
HV914  ,2451909.606,272.86
HV914  ,2451910.538,279.33
HV914  ,2451910.755,278.43
HV914  ,2451911.559,241.91
HV914  ,2451912.572,242.21
HV914  ,2452259.778,266.64
HV914  ,2452260.753,275.78
HV914  ,2452261.689,269.72
HV914  ,2452262.71,238.19
HV914  ,2452263.714,242.51
HV914  ,2452264.789,251.51
HV914  ,2452265.66,258.94
HV914  ,2452266.741,269.43
HV914  ,2452268.757,262.63
HV914  ,2452269.741,237.68
HV914  ,2452270.738,244.36
HV914  ,2452271.782,253.84
HV914  ,2452272.746,261.02
HV914  ,2452597.705,273.61
HV914  ,2452597.842,275.52
HV914  ,2452598.715,271.25
HV914  ,2452598.855,262.11
HV914  ,2452599.561,237.86
HV914  ,2452599.833,237.71
HV914  ,2452601.624,249.28
HV914  ,2452601.772,250.54
HV914  ,2452602.551,255.17
HV914  ,2452603.819,265.4
HV1005 ,2453701.758,265.2
HV1005 ,2453702.782,270.17
HV1005 ,2453703.787,275.01
HV1005 ,2453704.786,279.99
HV1005 ,2453705.777,285.04
HV1005 ,2453706.784,289.79
HV1005 ,2453707.777,294.95
HV1005 ,2453708.765,300.14
HV1005 ,2453709.765,303.65
HV1005 ,2453709.798,303.87
HV1005 ,2453710.757,300.89
HV1005 ,2453711.791,288.39
HV1005 ,2453712.773,287.95
HV1005 ,2453713.78,264.18
HV1005 ,2453714.779,241.59
HV1005 ,2453715.781,241.52
HV1005 ,2453716.78,246.62
HV1005 ,2454186.52,259.78
HV1005 ,2454410.825,247.2
HV1005 ,2454430.749,253.5
HV1006 ,2453701.792,275.76
HV1006 ,2453702.816,282.99
HV1006 ,2453703.81,289.24
HV1006 ,2453704.811,295.6
HV1006 ,2453705.801,297.4
HV1006 ,2453706.811,291.03
HV1006 ,2453707.804,273.29
HV1006 ,2453708.791,269.67
HV1006 ,2453709.791,258.98
HV1006 ,2453710.785,246.85
HV1006 ,2453711.763,245.57
HV1006 ,2453712.746,251.5
HV1006 ,2453713.752,259.24
HV1006 ,2453714.752,266.57
HV1006 ,2453715.753,273.78
HV1006 ,2453716.746,281.03
HV1023 ,2453701.728,285.22
HV1023 ,2453702.756,288.3
HV1023 ,2453703.764,291.38
HV1023 ,2453704.761,294.34
HV1023 ,2453705.753,297.35
HV1023 ,2453706.76,300.45
HV1023 ,2453707.753,303.26
HV1023 ,2453708.735,306.28
HV1023 ,2453709.74,309.16
HV1023 ,2453710.732,311.62
HV1023 ,2453711.732,313.18
HV1023 ,2453712.794,313.1
HV1023 ,2453713.801,312.06
HV1023 ,2453714.799,310.77
HV1023 ,2453715.803,312.11
HV1023 ,2453716.807,312.77
HV1023 ,2454067.745,260.97
HV1023 ,2454123.61,275.34
HV1023 ,2454410.839,263.74
HV1023 ,2454437.767,263.82
HV1023 ,2454488.688,277.46
HV1023 ,2454520.598,270.86
HV1023 ,2454540.569,311.24
HV2282 ,2453701.773,237.29
HV2282 ,2453702.794,244.66
HV2282 ,2453703.798,251.76
HV2282 ,2453704.799,258.64
HV2282 ,2453705.789,265.24
HV2282 ,2453706.799,271.84
HV2282 ,2453707.791,277.36
HV2282 ,2453708.778,281.44
HV2282 ,2453709.778,283.02
HV2282 ,2453710.769,266.22
HV2282 ,2453711.778,258.08
HV2282 ,2453712.761,253.29
HV2282 ,2453713.767,236.77
