#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-10-30T18:10:51 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-10-30T18:10:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-source=J/A+A/534/A95/table2&-order=I&-out=Name&-out=HJD&-out=HRV&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35340095
#Name: J/A+A/534/A95
#Title: LMC Cepheids radial velocities (Storm+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/534/a95	    IVOID of underlying data collection
#INFO	creator=Storm J.	    First author or institution
#INFO	cites=bibcode:2011A&A...534A..95S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/534/A95	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35340095	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_534_A95_table2:
#Name: J/A+A/534/A95/table2
#Title: Time stamps and radial velocities
#Column	Name	(A7)	Variable star identifier	[ucd=meta.id;meta.main]
#Column	HJD	(F12.4)	Heliocentric Julian Date	[ucd=time.epoch]
#Column	HRV	(F6.2)	Heliocentric Radial Velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
Name	HJD	HRV
 	d	km/s
-------	------------	------
HV873  	2453701.7205	247.46
HV873  	2453702.7489	250.14
HV873  	2453703.7567	252.64
HV873  	2453704.7536	255.15
HV873  	2453705.7469	257.52
HV873  	2453706.7521	259.96
HV873  	2453707.7469	262.16
HV873  	2453708.7284	264.30
HV873  	2453709.7342	266.68
HV873  	2453710.7259	268.34
HV873  	2453711.7259	270.06
HV873  	2453712.7989	271.83
HV873  	2453713.8065	246.49
HV873  	2453713.8550	272.33
HV873  	2453714.8049	273.13
HV873  	2453715.8082	271.87
HV873  	2453716.8134	271.55
HV873  	2454100.7662	245.93
HV873  	2454101.8402	235.08
HV873  	2454103.7732	223.37
HV873  	2454113.7482	243.99
HV873  	2454133.6554	268.78
HV873  	2454419.5380	231.95
HV873  	2454517.5116	223.41
HV873  	2454520.5762	226.80
HV876  	2453701.7443	302.26
HV876  	2453702.7690	306.48
HV876  	2453703.7753	310.73
HV876  	2453704.7726	314.77
HV876  	2453705.7647	318.53
HV876  	2453706.7724	322.20
HV876  	2453707.7653	324.52
HV876  	2453708.7525	322.83
HV876  	2453709.7527	314.18
HV876  	2453710.7445	313.45
HV876  	2453711.8040	306.49
HV876  	2453712.7842	277.53
HV876  	2453713.7911	264.14
HV876  	2453714.7893	263.90
HV876  	2453715.7920	266.74
HV876  	2453716.7952	270.49
HV876  	2454103.7842	274.91
HV876  	2454514.6587	284.43
HV876  	2454515.5416	287.76
HV876  	2454516.5644	291.83
HV876  	2454540.5329	297.01
HV877  	2453701.7057	280.63
HV877  	2453702.8535	281.79
HV877  	2453703.8413	282.68
HV877  	2453705.7336	285.00
HV877  	2453707.7371	287.28
HV877  	2453708.8214	288.44
HV877  	2453710.8569	291.00
HV877  	2453712.8026	293.08
HV877  	2453714.8115	295.28
HV877  	2453715.7040	296.28
HV877  	2453716.8211	297.57
