z(redshift),mu (distance modulus),,
0.01,32.9539,,
0.012,33.879,,
0.014,33.8421,,
0.016,34.1186,,
0.019,34.5934,,
0.023,34.939,,
0.026,35.2521,,
0.031,35.7485,,
0.037,36.0698,,
0.043,36.4346,,
0.051,36.6511,,
0.06,37.158,,
0.07,37.4302,,
0.082,37.9566,,
0.097,38.2533,,
0.114,38.6129,,
0.134,39.0679,,
0.158,39.3414,,
0.186,39.7921,,
0.218,40.1565,,
0.257,40.565,,
0.302,40.9053,,
0.355,41.4214,,
0.418,41.7909,,
0.491,42.2315,,
0.578,42.617,,
0.679,43.0527,,
0.799,43.5042,,
0.94,43.9726,,
1.105,44.5141,,
1.3,44.8219,,"Till this point was the Betoule+, 2014 data"
0.065392,37.02,,"Campbell+, 2013 data begins here onwards"
0.253816,40.33,,
0.129755,38.67,,
0.251725,40.12,,
0.104161,38.44,,
0.242027,40.16,,
0.300813,41.09,,
0.281092,40.77,,
0.045248,36.28,,
0.257608,40.52,,
0.107264,38.37,,
0.136329,39.18,,
0.34394,41.08,,
0.297805,41.13,,
0.273512,40.6,,
0.204532,39.63,,
0.216538,39.94,,
0.382077,41.35,,
0.257465,40.48,,
0.286703,40.97,,
0.310404,41.12,,
0.35066,41.32,,
0.08979,37.81,,
0.121679,38.68,,
0.364989,41.83,,
0.238109,40.26,,
0.083581,37.83,,
0.082734,37.86,,
0.247804,40.26,,
0.231208,39.89,,
0.224358,40.28,,
0.125883,38.78,,
0.392006,42.2,,
0.266025,40.55,,
0.368376,41.13,,
0.104671,38.23,,
0.203548,39.65,,
0.236133,40.13,,
0.214812,40.07,,
0.157625,39.24,,
0.28876,40.71,,
0.455383,42.17,,
0.27572,40.86,,
0.395788,41.43,,
0.244619,40.34,,
0.23744,40.39,,
0.269329,40.25,,
0.302444,40.36,,
0.249436,40.29,,
0.214018,39.89,,
0.298307,40.64,,
0.353187,41.15,,
0.387655,41.87,,
0.370585,41.08,,
0.304671,40.85,,
0.251768,40.63,,
0.235496,40.14,,
0.119343,38.49,,
0.226638,40.26,,
0.150207,39.27,,
0.394955,41.79,,
0.489267,42.36,,
0.148699,39.12,,
0.313563,40.68,,
0.513851,42.28,,
0.23646,40.34,,
0.135721,40.31,,
0.516581,42.69,,
0.247488,40.38,,
0.30085,40.85,,
0.157317,39.76,,
0.431273,42.2,,
0.325011,41.18,,
0.217646,40.32,,
0.197127,39.66,,
0.239774,40.36,,
0.29329,41.15,,
0.42914,42.13,,
0.148812,38.9,,
0.361378,40.32,,
0.474334,41.9,,
0.26192,40.68,,
0.453804,41.87,,
0.242319,39.7,,
0.211864,39.79,,
0.20449,39.92,,
0.36718,41.66,,
0.53876,42.02,,
0.285847,40.58,,
0.045389,36.17,,
0.181066,39.27,,
0.336024,41.04,,
0.420803,42.22,,
0.221159,40.48,,
0.277441,40.5,,
0.343052,40.91,,
0.323264,40.61,,
0.13941,39.12,,
0.417805,41.87,,
0.289816,40.97,,
0.175041,39.83,,
0.149267,39.11,,
0.297526,41.02,,
0.23698,40.1,,
0.329562,41.15,,
0.330796,41.11,,
0.243538,40.58,,
0.438058,41.98,,
0.272173,40.59,,
0.474318,41.72,,
0.34028,41.09,,
0.307205,40.31,,
0.341186,40.96,,
0.449299,41.48,,
0.371526,41.25,,
0.419382,41.68,,
0.42871,41.84,,
0.30807,40.38,,
0.375042,41.04,,
0.19232,39.95,,
0.371489,41.87,,
0.107221,38.11,,
0.349572,40.88,,
0.410778,41.95,,
0.224756,40.24,,
0.437768,41.68,,
0.310985,41.37,,
0.370501,41.06,,
0.280999,40.46,,
0.47979,42.25,,
0.292201,41.18,,
0.317369,41.07,,
0.246843,40.41,,
0.397,41.76,,
0.324593,41.53,,
0.197395,39.83,,
0.154382,39.42,,
0.148743,38.92,,
0.278904,40.75,,
0.252226,40.16,,
0.249554,40.29,,
0.289402,40.75,,
0.208812,40.17,,
0.204439,39.99,,
0.247421,40.47,,
0.464547,42.2,,
0.19943,39.58,,
0.288597,40.24,,
0.136358,39.24,,
0.253699,40.44,,
0.467976,41.86,,
0.298563,40.83,,
0.280459,40.36,,
0.237679,40.45,,
0.179833,39.61,,
0.234351,40.63,,
0.392801,41.31,,
0.213997,40,,
0.270007,40.11,,
0.316355,40.82,,
0.313149,40.79,,
0.274927,40.44,,
0.311973,40.59,,
0.187958,39.85,,
0.519708,42.42,,
0.316063,41.12,,
0.348971,41.25,,
0.277787,40.62,,
0.185445,39.77,,
0.395058,41.75,,
0.159892,39.08,,
0.383289,41.4,,
0.220681,40.12,,
0.262254,40.47,,
0.181908,39.67,,
0.098871,39.03,,
0.383047,41.67,,
0.407071,41.87,,
0.126787,39.26,,
0.186169,39.64,,
0.245675,40.21,,
0.209778,39.94,,
0.316577,40.48,,
0.397909,41.28,,
0.409642,40.91,,
0.134604,38.94,,
0.344401,41.34,,
0.200792,39.92,,
0.448849,42.18,,
0.335192,41.52,,
0.305943,40.69,,
0.284218,40.62,,
0.218847,40.11,,
0.415635,41.52,,
0.262587,40.26,,
0.448918,42.56,,
0.451021,42.22,,
0.175017,39.34,,
